Cutoff,Home Team,Away Team,Margin,PMF
2026-03-18,Dayton,Bradley,-130,1.347627895934203e-22
2026-03-18,Dayton,Bradley,-129,3.398437104469275e-21
2026-03-18,Dayton,Bradley,-128,4.404919919213591e-20
2026-03-18,Dayton,Bradley,-127,3.910065095035525e-19
2026-03-18,Dayton,Bradley,-126,2.672294739429886e-18
2026-03-18,Dayton,Bradley,-125,1.4989845352786752e-17
2026-03-18,Dayton,Bradley,-124,7.18445820427552e-17
2026-03-18,Dayton,Bradley,-123,3.0245790698321877e-16
2026-03-18,Dayton,Bradley,-122,1.1411219493053892e-15
2026-03-18,Dayton,Bradley,-121,3.91753706197054e-15
2026-03-18,Dayton,Bradley,-120,1.2384878924447543e-14
2026-03-18,Dayton,Bradley,-119,3.64024918849289e-14
2026-03-18,Dayton,Bradley,-118,1.0026345402594881e-13
2026-03-18,Dayton,Bradley,-117,2.604766454636133e-13
2026-03-18,Dayton,Bradley,-116,6.418165413014873e-13
2026-03-18,Dayton,Bradley,-115,1.5070305638548948e-12
2026-03-18,Dayton,Bradley,-114,3.385911008682969e-12
2026-03-18,Dayton,Bradley,-113,7.304941265767214e-12
2026-03-18,Dayton,Bradley,-112,1.5181093181730256e-11
2026-03-18,Dayton,Bradley,-111,3.047440142602915e-11
2026-03-18,Dayton,Bradley,-110,5.9235476862496e-11
2026-03-18,Dayton,Bradley,-109,1.1173773576321715e-10
2026-03-18,Dayton,Bradley,-108,2.0495095596849978e-10
2026-03-18,Dayton,Bradley,-107,3.661932661806867e-10
2026-03-18,Dayton,Bradley,-106,6.383923447952427e-10
2026-03-18,Dayton,Bradley,-105,1.087491866334471e-09
2026-03-18,Dayton,Bradley,-104,1.812653325811974e-09
2026-03-18,Dayton,Bradley,-103,2.960022397291e-09
2026-03-18,Dayton,Bradley,-102,4.7409480876846365e-09
2026-03-18,Dayton,Bradley,-101,7.455656634474344e-09
2026-03-18,Dayton,Bradley,-100,1.1523484668535154e-08
2026-03-18,Dayton,Bradley,-99,1.7520862249442955e-08
2026-03-18,Dayton,Bradley,-98,2.6228301506894137e-08
2026-03-18,Dayton,Bradley,-97,3.868768776834799e-08
2026-03-18,Dayton,Bradley,-96,5.627118613501739e-08
2026-03-18,Dayton,Bradley,-95,8.076306868643291e-08
2026-03-18,Dayton,Bradley,-94,1.1445573950617123e-07
2026-03-18,Dayton,Bradley,-93,1.6026119260769915e-07
2026-03-18,Dayton,Bradley,-92,2.218390898444945e-07
2026-03-18,Dayton,Bradley,-91,3.037426019550988e-07
2026-03-18,Dayton,Bradley,-90,4.115831270114494e-07
2026-03-18,Dayton,Bradley,-89,5.522149979576763e-07
2026-03-18,Dayton,Bradley,-88,7.33941325290401e-07
2026-03-18,Dayton,Bradley,-87,9.667422013959357e-07
2026-03-18,Dayton,Bradley,-86,1.2625266264594296e-06
2026-03-18,Dayton,Bradley,-85,1.635409705985493e-06
2026-03-18,Dayton,Bradley,-84,2.1020169169949735e-06
2026-03-18,Dayton,Bradley,-83,2.681817540072799e-06
2026-03-18,Dayton,Bradley,-82,3.3974896996635945e-06
2026-03-18,Dayton,Bradley,-81,4.275319833249747e-06
2026-03-18,Dayton,Bradley,-80,5.3456398053290185e-06
2026-03-18,Dayton,Bradley,-79,6.64330527498684e-06
2026-03-18,Dayton,Bradley,-78,8.208219293950066e-06
2026-03-18,Dayton,Bradley,-77,1.0085905430632573e-05
2026-03-18,Dayton,Bradley,-76,1.2328134958527919e-05
2026-03-18,Dayton,Bradley,-75,1.499361278713277e-05
2026-03-18,Dayton,Bradley,-74,1.8148726822875377e-05
2026-03-18,Dayton,Bradley,-73,2.186836529909986e-05
2026-03-18,Dayton,Bradley,-72,2.6236806281715514e-05
2026-03-18,Dayton,Bradley,-71,3.134868301571013e-05
2026-03-18,Dayton,Bradley,-70,3.731002800415752e-05
2026-03-18,Dayton,Bradley,-69,4.4239397684545594e-05
2026-03-18,Dayton,Bradley,-68,5.226907826859475e-05
2026-03-18,Dayton,Bradley,-67,6.154637172540311e-05
2026-03-18,Dayton,Bradley,-66,7.223495900108548e-05
2026-03-18,Dayton,Bradley,-65,8.451633537203855e-05
2026-03-18,Dayton,Bradley,-64,9.859131031868747e-05
2026-03-18,Dayton,Bradley,-63,0.00011468156148200628
2026-03-18,Dayton,Bradley,-62,0.00013303122913183873
2026-03-18,Dayton,Bradley,-61,0.0001539085341462398
2026-03-18,Dayton,Bradley,-60,0.0001776073987945151
2026-03-18,Dayton,Bradley,-59,0.000204449045662005
2026-03-18,Dayton,Bradley,-58,0.0002347835458907206
2026-03-18,Dayton,Bradley,-57,0.00026899128358686764
2026-03-18,Dayton,Bradley,-56,0.000307484298826988
2026-03-18,Dayton,Bradley,-55,0.0003507074672556866
2026-03-18,Dayton,Bradley,-54,0.0003991394699013241
2026-03-18,Dayton,Bradley,-53,0.0004532935026488497
2026-03-18,Dayton,Bradley,-52,0.0005137176709242462
2026-03-18,Dayton,Bradley,-51,0.0005809950117016309
2026-03-18,Dayton,Bradley,-50,0.0006557430820956919
2026-03-18,Dayton,Bradley,-49,0.0007386130517159791
2026-03-18,Dayton,Bradley,-48,0.0008302882348140038
2026-03-18,Dayton,Bradley,-47,0.0009314819982354509
2026-03-18,Dayton,Bradley,-46,0.0010429349824883384
2026-03-18,Dayton,Bradley,-45,0.0011654115760427943
2026-03-18,Dayton,Bradley,-44,0.0012996955874711343
2026-03-18,Dayton,Bradley,-43,0.0014465850663859807
2026-03-18,Dayton,Bradley,-42,0.0016068862324852297
2026-03-18,Dayton,Bradley,-41,0.0017814064824814345
2026-03-18,Dayton,Bradley,-40,0.0019709464573561793
2026-03-18,Dayton,Bradley,-39,0.002176291167265626
2026-03-18,Dayton,Bradley,-38,0.0023982001885025804
2026-03-18,Dayton,Bradley,-37,0.0026373969660986214
2026-03-18,Dayton,Bradley,-36,0.002894557276758895
2026-03-18,Dayton,Bradley,-35,0.0031702969296144917
2026-03-18,Dayton,Bradley,-34,0.0034651588064211194
2026-03-18,Dayton,Bradley,-33,0.0037795993679100737
2026-03-18,Dayton,Bradley,-32,0.004113974778504394
2026-03-18,Dayton,Bradley,-31,0.0044685268269642675
2026-03-18,Dayton,Bradley,-30,0.004843368845060354
2026-03-18,Dayton,Bradley,-29,0.005238471849367942
2026-03-18,Dayton,Bradley,-28,0.005653651151955745
2026-03-18,Dayton,Bradley,-27,0.00608855370330695
2026-03-18,Dayton,Bradley,-26,0.006542646444446172
2026-03-18,Dayton,Bradley,-25,0.007015205954160372
